#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 855 UCOMISS                       22                0
 858 UD2                            3                0
1599 WRPKRU                         1                0
1604 XABORT                         4                0
1606 XADD_LOCK                     27                0
1607 XBEGIN                         3                0
1608 XCHG                          21                0
1609 XEND                           1                0
1612 XOR                         8107                0
1613 XORPD                          6                0
1614 XORPS                          1                0
3000 *total                    224064                0
3001 *mem-atomic                  878                0
3002 *stack-read                22510               38
3003 *stack-write               28442                0
3004 *iprel-read                 6217                3
3005 *iprel-write                1996                0
3007 *mem-read-1                 4184              121
3008 *mem-read-2                  470                0
3010 *mem-read-4                10225               42
3014 *mem-read-8                31554               34
3016 *mem-read-10                  46                0
3022 *mem-read-16                 714                0
3034 *mem-read-28                   3                0
3070 *mem-read-64                   4                0
3519 *mem-write-1                2246                8
3520 *mem-write-2                 313                0
3522 *mem-write-4                7709                3
3526 *mem-write-8               29151               51
3528 *mem-write-10                 36                0
3534 *mem-write-16               1167                0
3546 *mem-write-28                  2                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   8 ADD                        62349                0
  31 AND                        24239                0
  63 BSF                         2298                0
  64 BSR                           16                0
  66 BT                           664                0
  75 CALL_NEAR                   9774                0
  78 CDQE                          10                0
  92 CMOVB                          0               88
  93 CMOVBE                         0               83
  94 CMOVL                          0                2
  96 CMOVNB                         0              184
  97 CMOVNBE                        0              410
 103 CMOVNZ                         0             1223
 106 CMOVS                          0                1
 107 CMOVZ                          0             1634
 108 CMP                        81254                0
 111 CMPSB                          0              276
 117 CMPXCHG                       92                0
 122 CMPXCHG_LOCK                  14                0
 125 CPUID                         29                0
 126 CQO                            2                0
 154 DEC                           91                0
 155 DEC_LOCK                       3                0
 156 DIV                         2721                0
 283 IDIV                           2                0
 284 IMUL                        1319                0
 286 INC                            2                0
 309 JB                          6141                0
 310 JBE                         7580                0
 313 JL                          1202                0
 314 JLE                         3402                0
 315 JMP                        18239                0
 317 JNB                         6153                0
 318 JNBE                       10659                0
 319 JNL                          125                0
 320 JNLE                         763                0
 323 JNS                          994                0
 324 JNZ                        47145                0
 325 JO                             3                0
 328 JS                           327                0
 329 JZ                         61584                0
 387 LEA                        38125                0
 388 LEAVE                          5                0
 426 MOV                       231011                0
 428 MOVAPS                       744                0
 430 MOVD                         140                0
 435 MOVDQA                      2977                0
 436 MOVDQU                      1492                0
 438 MOVHPD                      2210                0
 439 MOVHPS                       290                0
 441 MOVLPD                      2210                0
 453 MOVQ                         309                0
 460 MOVSQ                        240                1
 463 MOVSX                        699                0
 464 MOVSXD                      6045                0
 466 MOVUPS                       277                0
 467 MOVZX                      30873                0
 471 MUL                            4                0
 479 NEG                          228                0
 481 NOP                         3636                0
 490 NOT                          345                0
 492 OR                          2266                0
 508 PADDD                         62                0
 509 PADDQ                        166                0
 525 PCMPEQB                     5551                0
 526 PCMPEQD                        1                0
 534 PCMPGTD                       31                0
 591 PMINUB                       598                0
 594 PMOVMSKB                    2870                0
 615 POP                        19138                0
 622 POR                          389                0
 633 PSHUFD                       126                0
 640 PSLLD                         31                0
 641 PSLLDQ                       718                0
 642 PSLLQ                         62                0
 648 PSRLDQ                       275                0
 651 PSUBB                       1972                0
 663 PUNPCKHDQ                     31                0
 664 PUNPCKHQDQ                    62                0
 666 PUNPCKLBW                    126                0
 667 PUNPCKLDQ                     31                0
 668 PUNPCKLQDQ                    67                0
 669 PUNPCKLWD                    126                0
 670 PUSH                       21619                0
 677 PXOR                        3273                0
 693 RDTSC                          9                0
 739 RET_NEAR                    9770                0
 742 ROL                          174                0
